RA;Fev;Mar;Abr;Mai;Jun;Total Faltas
63227467787;7;9;1;3;7;27
55774275097;3;6;1;3;7;20
76059134116;6;10;1;0;7;24
64295541703;5;8;0;0;8;21
71033266097;2;2;1;1;8;14
94355846566;6;4;1;0;7;18
80830562656;8;9;1;3;5;26
76852042511;6;5;1;0;5;17
91522109945;7;2;0;0;8;17
71863649027;2;2;0;1;7;12
82373740270;8;10;0;0;8;26
57200402542;6;7;3;3;6;25
60126099851;4;9;3;2;5;23
97496463855;5;6;0;1;6;18
68646765054;7;5;1;2;6;21
99843755621;6;2;3;2;5;18
72053544514;3;2;2;2;8;17
63210991357;4;4;2;0;7;17
68082779370;4;2;0;3;6;15
84414508263;5;6;0;0;7;18
88706391022;5;3;2;2;7;19
56156691826;8;5;2;3;6;24
84252161084;6;2;0;0;5;13
73823696006;6;2;1;1;8;18
59249490017;4;6;1;0;5;16
73891810505;2;4;3;2;7;18
61441849541;6;5;3;3;7;24
73782019520;5;6;0;3;5;19
97849217948;7;4;0;1;5;17
84177767225;4;4;3;3;5;19
98294834305;3;9;2;2;7;23
71047234172;2;7;1;2;7;19
82131935084;3;7;1;0;6;17
96097690587;3;6;3;3;7;22
73911690845;7;10;1;3;7;28
96446798045;2;3;1;0;8;14
94220360149;7;2;3;0;7;19
61668710511;4;2;0;3;5;14
90556999713;8;7;0;1;6;22
55798993528;6;5;1;1;8;21
98437267044;5;2;2;1;5;15
89793773870;7;7;0;3;7;24
82100280473;4;2;3;2;6;17
76505149113;6;2;2;3;8;21
79176696752;6;7;2;0;8;23
65353394077;7;6;2;1;7;23
77075884375;4;4;1;0;7;16
81226486449;8;8;3;2;5;26
58427716925;3;2;0;3;5;13
82852392557;3;7;3;3;7;23
78324728693;6;4;3;1;7;21
88082561631;6;5;3;0;7;21
82882234104;8;10;2;3;7;30
58806617325;3;10;0;0;6;19
78853954754;7;8;1;0;8;24
90612351728;2;5;2;2;7;18
61919608954;2;4;1;1;5;13
75846263960;3;6;2;0;5;16
73794741310;2;3;3;2;5;15
69608990923;8;9;1;0;8;26
77449838968;3;6;2;1;6;18
60372750744;3;9;3;0;5;20
99073972248;7;4;2;2;6;21
64281482473;3;9;3;2;8;25
72283032018;4;7;3;2;7;23
98610176591;2;2;0;1;5;10
82514349615;3;5;3;1;5;17
61001960241;5;5;1;3;6;20
58054694485;4;6;3;2;7;22
94936869901;4;9;2;0;5;20
72054138041;2;10;0;0;8;20
75310776795;6;5;0;1;8;20
97240471150;6;7;3;3;8;27
74294082143;3;5;1;2;7;18
68618995444;2;5;1;3;5;16
95468149924;3;9;0;2;6;20
67880375501;4;4;1;3;6;18
67771470327;3;6;3;3;7;22
59814649756;8;6;0;2;8;24
70143824644;5;2;2;1;5;15
96078264778;4;4;0;2;5;15
93436555629;7;6;0;1;5;19
80253593355;3;2;0;1;5;11
75646529999;3;2;2;0;7;14
85152587295;4;6;1;1;6;18
57719656378;8;5;3;1;8;25
58437716952;5;4;0;3;8;20
61835193405;8;3;0;2;8;21
64727719347;4;3;3;1;7;18
95730698265;8;3;3;2;5;21
74226841493;8;4;3;3;5;23
78891245316;7;7;3;0;8;25
86685864800;3;3;3;3;8;20
72184788680;8;7;2;3;8;28
62678402433;8;7;2;3;6;26
95028498771;7;5;3;3;8;26
77590052981;3;6;2;1;5;17
84097442344;6;4;1;0;5;16
87534302801;3;9;0;2;7;21
60915633675;8;7;2;0;7;24
77551235570;7;2;3;3;6;21
91291552109;6;4;3;1;5;19
91607324230;2;8;2;0;7;19
85579223715;2;8;0;1;6;17
89003896358;8;3;3;2;7;23
55896866724;7;5;1;2;8;23
87396313125;3;4;1;0;5;13
57585823373;5;6;1;1;6;19
66289571273;8;3;3;2;6;22
98990966649;8;4;3;1;6;22
65021803315;3;9;2;1;8;23
87802422775;2;9;0;3;8;22
81151693087;3;2;0;2;7;14
90937476478;4;8;2;2;5;21
92546748274;6;9;3;2;5;25
81850742708;8;10;1;1;5;25
95980765400;6;2;2;3;7;20
78549251895;4;9;1;1;6;21
77945547478;5;9;3;1;7;25
83011733706;5;8;3;3;6;25
83006306304;5;7;2;3;6;23
55680472790;2;4;2;1;5;14
75011208424;7;9;0;2;5;23
62953896046;6;9;0;0;8;23
80628296520;3;8;1;1;6;19
83926907902;8;10;0;0;6;24
76709212705;7;10;0;1;8;26
64092642989;2;3;0;3;6;14
56957808904;2;3;2;3;8;18
88649434046;6;4;3;1;8;22
79531250584;7;6;1;3;6;23
57525680626;2;8;1;1;8;20
91889704239;5;3;1;1;5;15
56935443946;6;8;0;0;8;22
66167313279;5;3;1;0;6;15
81361526204;7;2;2;1;8;20
87708947203;2;2;0;1;7;12
63907571633;8;4;2;2;7;23
81885346751;7;10;1;3;6;27
93306105792;6;3;0;1;5;15
97284346100;7;6;3;2;5;23
57249264851;2;8;3;2;8;23
79983949999;8;5;1;0;7;21
99277040765;6;5;2;0;8;21
94356056686;5;6;2;1;7;21
64497873431;6;5;3;2;6;22
78416394568;8;3;0;0;8;19
71966580485;6;10;1;2;8;27
92814941309;7;6;3;0;6;22
55616855724;2;2;1;2;6;13
90016805947;7;2;3;1;7;20
81946383101;8;8;1;1;8;26
99668234269;4;5;1;3;6;19
78541742773;6;4;2;1;6;19
76005698603;2;7;1;1;8;19
67592796415;7;4;3;2;5;21
87358837817;7;4;1;0;5;17
69261074960;6;8;1;2;6;23
88717881455;5;10;2;3;7;27
56682750405;5;7;3;1;7;23
94661035036;4;4;1;2;7;18
80007068125;8;9;3;2;7;29
93337030792;2;7;3;0;7;19
98015855059;6;6;0;3;5;20
99554681418;6;9;0;3;7;25
58824953664;3;8;2;1;5;19
88420471730;4;9;3;2;8;26
89753204608;2;10;2;1;8;23
90202411846;8;8;1;0;5;22
81270830371;6;8;0;2;7;23
66377269361;8;9;0;0;8;25
58149644619;5;3;0;1;7;16
66591401813;7;4;3;2;8;24
65765753264;3;7;3;0;6;19
82526148869;3;8;1;3;6;21
90309914050;8;10;2;2;7;29
83975379628;2;2;2;3;5;14
66661633537;7;7;0;3;5;22
61583920765;4;10;2;2;6;24
62123716594;3;9;1;3;5;21
84576082462;8;8;1;1;5;23
76397496949;5;7;0;1;6;19
57500064385;2;8;1;3;8;22
70054158612;8;10;3;2;5;28
97864881365;2;5;2;3;7;19
84701642018;2;7;0;1;8;18
66520770222;4;8;3;1;6;22
93867800997;5;8;1;1;8;23
97553346924;3;5;2;1;8;19
81005826445;8;4;2;1;6;21
99058766380;6;7;3;1;7;24
75679584507;5;4;2;2;6;19
65910449155;2;5;2;3;8;20
57129783197;4;9;3;0;7;23
75212790666;8;9;2;3;8;30
92971053189;6;3;3;2;8;22
61231871495;6;9;1;2;7;25
57150917852;7;8;2;0;8;25
98697853336;7;7;2;1;5;22
58912360748;4;4;0;3;7;18
95789459920;3;6;2;0;5;16
67495034437;7;3;0;2;7;19
94181295850;8;7;3;1;8;27
71774966528;6;3;2;2;5;18
92514746471;6;10;1;0;7;24
64023556397;3;4;1;2;8;18
93220030662;2;6;2;1;5;16
64834744744;5;7;3;2;8;25
97266315766;7;8;2;1;6;24
61818444647;8;6;3;3;7;27
91593744313;3;7;2;3;5;20
86983369387;6;3;3;1;7;20
62425838632;8;7;0;2;7;24
90887685686;7;10;1;3;8;29
80818216300;5;5;1;1;7;19
70913174333;2;10;3;0;7;22
73171353709;5;5;2;1;8;21
99478075629;8;7;1;1;8;25
82950348580;8;10;0;3;6;27
75811422535;6;8;0;2;8;24
59992394107;5;10;3;2;5;25
61123299597;8;3;3;3;5;22
85829880750;3;9;0;2;5;19
71981991451;3;5;2;3;5;18
75371578775;8;8;3;1;7;27
66825609138;2;5;1;1;5;14
60302141496;3;4;2;1;5;15
74696150320;2;9;3;2;5;21
60533949567;2;6;3;3;7;21
63528419604;3;4;2;3;8;20
68716425599;6;7;2;2;6;23
93795650965;2;4;1;3;5;15
88726960254;6;5;0;2;6;19
89549710801;4;7;3;2;5;21
73056953742;3;2;2;3;7;17
82562254871;4;10;0;0;5;19
72175054968;6;8;2;1;5;22
73232572919;8;3;1;2;7;21
70459266656;5;4;2;1;6;18
72340937537;4;6;1;3;6;20
98177664836;6;8;3;3;7;27
68885567947;7;10;3;1;6;27
82536911321;3;5;0;1;8;17
77472036374;5;2;1;0;6;14
88725538553;7;6;2;3;5;23
90403549025;2;3;3;2;7;17
80925212572;8;6;0;2;6;22
89377636199;6;4;3;3;7;23
86525690894;2;7;0;3;6;18
97364081212;6;10;1;1;5;23
89804698120;7;2;3;1;6;19
86941202761;4;5;2;3;8;22
68954599741;5;6;0;0;7;18
75366354164;8;3;2;1;8;22
69608866653;3;4;2;1;6;16
64928767418;3;4;0;3;5;15
88501881981;2;3;0;1;8;14
70982644387;6;8;1;0;8;23
68610098906;6;8;2;2;6;24
80014803890;8;5;0;3;7;23
67380702151;6;7;3;2;8;26
79819361962;5;5;0;0;5;15
90396632443;8;3;2;1;5;19
79667586565;4;3;2;2;8;19
74962199967;5;7;2;2;5;21
96481026526;8;3;2;1;7;21
73333039512;5;6;0;2;7;20
96377476121;6;4;3;0;6;19
57039255807;8;7;0;2;5;22
63093566834;7;7;2;3;8;27
88482887885;8;7;3;3;7;28
97950320482;2;8;3;2;6;21
56843204394;2;10;3;2;6;23
99532054279;7;3;3;2;6;21
57029100687;7;9;2;3;7;28
82487546449;2;9;0;0;7;18
74652879976;3;3;0;1;8;15
84788367355;5;4;2;0;5;16
76288685079;5;3;2;1;6;17
69937104197;3;8;0;3;5;19
78051129659;4;7;0;3;8;22
76858653145;7;2;1;3;6;19
63119744731;2;4;1;2;6;15
72100652952;2;8;1;2;8;21
76533280860;7;4;2;1;7;21
57880527806;8;7;0;2;7;24
65092064021;5;7;0;1;8;21
63893561511;2;8;3;1;7;21
84291839162;8;2;0;2;8;20
80113300098;3;9;2;3;5;22
59463043646;8;10;3;0;6;27
75332205879;8;8;0;3;7;26
80967326985;4;6;0;3;7;20
64145893892;6;9;0;3;6;24
58534624387;3;2;1;3;6;15
80355209504;6;10;1;0;8;25
64876344668;4;6;1;0;5;16
77611509140;5;5;3;1;5;19
61821096538;6;7;3;1;6;23
92179223683;7;4;0;3;7;21
