RA;Fev;Mar;Abr;Mai;Jun;Total Faltas
63227467787;5;5;3;4;5;22
55774275097;5;3;3;4;3;18
76059134116;4;4;0;5;1;14
64295541703;1;4;5;5;1;16
71033266097;2;2;4;4;3;15
94355846566;3;2;4;3;0;12
80830562656;0;3;5;3;4;15
76852042511;3;5;2;0;1;11
91522109945;4;1;4;5;1;15
71863649027;0;3;1;4;4;12
82373740270;0;4;3;0;1;8
57200402542;2;5;5;0;2;14
60126099851;5;4;3;0;1;13
97496463855;0;2;4;2;5;13
68646765054;0;3;2;1;4;10
99843755621;0;1;0;0;5;6
72053544514;0;5;4;1;0;10
63210991357;1;4;3;3;0;11
68082779370;4;5;3;4;1;17
84414508263;3;5;0;2;0;10
88706391022;2;2;3;5;1;13
56156691826;3;1;1;5;2;12
84252161084;4;1;0;4;0;9
73823696006;4;5;0;2;5;16
59249490017;2;1;0;1;2;6
73891810505;2;0;0;2;5;9
61441849541;4;5;1;3;5;18
73782019520;2;4;5;5;5;21
97849217948;5;2;2;3;5;17
84177767225;0;4;1;5;2;12
98294834305;4;0;5;2;1;12
71047234172;0;5;2;1;4;12
82131935084;0;5;0;1;1;7
96097690587;3;3;5;1;3;15
73911690845;2;4;1;4;4;15
96446798045;2;0;4;0;5;11
94220360149;5;0;0;3;1;9
61668710511;1;2;4;3;0;10
90556999713;3;5;3;5;2;18
55798993528;2;0;5;1;5;13
98437267044;0;3;3;3;5;14
89793773870;1;5;5;0;3;14
82100280473;1;1;4;2;0;8
76505149113;0;4;2;2;4;12
79176696752;4;2;0;1;5;12
65353394077;0;2;2;1;5;10
77075884375;1;0;4;4;1;10
81226486449;4;2;3;0;4;13
58427716925;2;0;3;0;4;9
82852392557;5;4;2;0;3;14
78324728693;3;5;2;2;4;16
88082561631;1;3;3;1;0;8
82882234104;0;0;2;3;2;7
58806617325;0;4;3;4;0;11
78853954754;5;4;4;4;3;20
90612351728;5;5;2;5;0;17
61919608954;0;3;0;4;3;10
