RA;Fev;Mar;Abr;Mai;Jun;Total Faltas
63227467787;4;2;3;3;8;20
55774275097;0;9;4;5;8;26
76059134116;4;2;4;4;7;21
64295541703;2;3;6;5;6;22
71033266097;1;10;2;4;10;27
94355846566;5;9;3;3;7;27
80830562656;3;9;8;3;7;30
76852042511;1;4;5;5;10;25
91522109945;3;2;2;4;9;20
71863649027;4;7;2;4;6;23
82373740270;0;8;8;4;9;29
57200402542;2;2;4;5;10;23
60126099851;1;6;7;5;10;29
97496463855;1;8;4;4;8;25
68646765054;2;6;4;3;6;21
99843755621;5;10;7;5;7;34
72053544514;1;4;7;5;10;27
63210991357;5;5;3;4;8;25
68082779370;1;6;5;5;7;24
84414508263;3;6;8;4;8;29
88706391022;3;2;8;5;5;23
56156691826;2;3;4;5;9;23
84252161084;4;5;2;3;8;22
73823696006;5;9;8;4;9;35
59249490017;5;2;8;3;7;25
73891810505;0;5;2;5;8;20
61441849541;4;5;3;4;10;26
73782019520;2;6;6;5;6;25
97849217948;0;10;4;3;5;22
84177767225;5;7;8;3;7;30
98294834305;0;7;5;5;6;23
71047234172;2;6;6;5;8;27
82131935084;2;2;8;4;8;24
96097690587;3;4;4;3;7;21
73911690845;1;10;6;5;6;28
96446798045;4;4;7;3;8;26
94220360149;5;4;5;4;5;23
61668710511;0;4;3;5;6;18
90556999713;3;9;4;3;10;29
55798993528;1;9;2;4;5;21
98437267044;3;10;8;5;6;32
89793773870;3;6;5;4;8;26
82100280473;5;5;7;5;9;31
76505149113;2;9;8;5;8;32
79176696752;1;6;6;3;5;21
65353394077;4;6;3;4;8;25
77075884375;3;10;6;5;10;34
81226486449;2;9;3;3;5;22
58427716925;4;6;4;3;9;26
82852392557;2;10;6;4;7;29
78324728693;2;7;2;5;5;21
88082561631;5;4;3;3;8;23
82882234104;1;2;7;4;10;24
58806617325;4;7;2;4;8;25
78853954754;4;10;7;3;9;33
90612351728;1;2;3;4;6;16
61919608954;2;5;4;5;6;22
75846263960;2;9;3;5;10;29
73794741310;2;4;6;5;6;23
69608990923;5;8;6;5;7;31
77449838968;3;8;2;5;10;28
60372750744;0;3;8;3;8;22
99073972248;5;8;7;3;8;31
64281482473;4;10;5;3;7;29
72283032018;1;2;7;4;8;22
98610176591;1;2;2;5;10;20
82514349615;1;3;2;4;9;19
61001960241;3;4;8;5;6;26
58054694485;4;6;8;5;8;31
94936869901;2;10;2;3;9;26
72054138041;2;10;7;5;6;30
75310776795;5;3;6;5;9;28
97240471150;1;7;4;4;10;26
74294082143;0;7;4;5;6;22
68618995444;2;2;7;5;8;24
95468149924;3;3;2;3;9;20
67880375501;0;7;2;5;9;23
67771470327;0;6;7;3;10;26
59814649756;2;10;4;4;5;25
70143824644;4;10;7;3;8;32
96078264778;0;8;7;4;7;26
93436555629;3;4;2;4;7;20
80253593355;4;6;7;3;7;27
75646529999;2;5;6;4;6;23
85152587295;0;4;5;3;6;18
57719656378;3;10;5;5;6;29
58437716952;1;3;4;3;7;18
61835193405;0;5;4;3;9;21
64727719347;4;7;2;4;6;23
95730698265;5;5;5;3;9;27
74226841493;3;4;4;5;6;22
78891245316;3;7;4;5;8;27
86685864800;2;9;5;5;10;31
72184788680;4;7;6;4;9;30
62678402433;5;2;5;5;10;27
95028498771;1;7;6;4;5;23
77590052981;0;9;7;4;10;30
84097442344;3;6;8;4;9;30
87534302801;3;2;4;5;10;24
60915633675;4;5;2;4;8;23
77551235570;3;8;8;4;6;29
91291552109;4;3;8;5;5;25
91607324230;0;7;6;4;10;27
85579223715;0;8;6;4;5;23
89003896358;2;5;3;4;8;22
55896866724;2;6;4;4;6;22
87396313125;2;7;7;3;8;27
57585823373;3;5;8;4;9;29
66289571273;3;8;4;4;9;28
98990966649;1;7;3;5;6;22
65021803315;5;4;4;3;5;21
87802422775;4;2;6;4;9;25
81151693087;1;3;2;3;7;16
90937476478;5;2;6;3;6;22
92546748274;3;5;4;5;7;24
81850742708;3;2;5;5;5;20
95980765400;5;7;7;5;7;31
78549251895;2;3;2;4;7;18
77945547478;0;8;2;3;8;21
83011733706;2;5;4;4;6;21
83006306304;3;4;6;3;5;21
55680472790;2;4;8;3;8;25
75011208424;2;10;7;3;9;31
62953896046;0;4;8;4;6;22
80628296520;2;4;4;4;10;24
83926907902;2;4;8;3;10;27
76709212705;2;3;6;3;10;24
64092642989;3;10;6;5;9;33
56957808904;2;2;7;4;6;21
88649434046;2;8;2;4;7;23
79531250584;4;3;5;5;5;22
57525680626;3;3;6;3;5;20
91889704239;2;7;6;4;8;27
56935443946;1;7;3;4;10;25
66167313279;1;10;8;4;8;31
81361526204;1;8;8;5;9;31
87708947203;1;4;4;5;9;23
63907571633;3;4;5;5;10;27
81885346751;3;8;6;3;8;28
93306105792;5;6;7;3;6;27
97284346100;3;3;3;4;6;19
57249264851;2;5;7;5;8;27
79983949999;3;5;5;5;8;26
99277040765;1;5;4;4;6;20
94356056686;1;6;5;3;8;23
64497873431;1;5;7;3;7;23
78416394568;5;4;8;5;5;27
71966580485;5;5;7;4;10;31
92814941309;1;8;8;5;10;32
55616855724;5;10;5;5;8;33
90016805947;0;3;5;5;10;23
81946383101;3;9;7;4;7;30
