RA;Fev;Mar;Abr;Mai;Jun;Total Faltas
63227467787;2;2;7;3;0;14
55774275097;7;10;3;5;0;25
76059134116;8;10;2;5;3;28
64295541703;2;10;7;3;3;25
71033266097;8;6;4;3;1;22
94355846566;6;7;6;5;3;27
80830562656;5;3;6;5;4;23
76852042511;1;6;8;5;1;21
91522109945;6;2;1;5;2;16
71863649027;7;5;9;3;2;26
82373740270;0;7;5;5;1;18
57200402542;5;5;5;5;1;21
60126099851;4;10;11;5;3;33
97496463855;6;6;5;3;3;23
68646765054;6;8;0;3;2;19
99843755621;8;7;4;3;1;23
72053544514;1;8;4;5;1;19
63210991357;7;8;7;5;2;29
68082779370;4;2;9;4;3;22
84414508263;8;9;9;4;2;32
88706391022;2;4;7;5;4;22
56156691826;0;7;5;4;5;21
84252161084;5;7;1;3;2;18
73823696006;3;4;1;5;3;16
59249490017;4;3;4;5;4;20
73891810505;3;9;4;5;4;25
61441849541;4;2;7;5;3;21
73782019520;3;10;11;5;4;33
97849217948;7;2;0;5;5;19
84177767225;4;3;2;5;1;15
98294834305;1;4;1;4;3;13
71047234172;4;2;2;3;0;11
82131935084;2;8;11;5;3;29
96097690587;4;9;11;3;3;30
73911690845;6;3;9;3;5;26
96446798045;5;7;2;4;2;20
94220360149;8;10;12;4;4;38
61668710511;7;7;0;5;0;19
90556999713;5;4;11;5;0;25
55798993528;3;5;8;4;0;20
98437267044;6;9;12;3;1;31
89793773870;6;2;7;3;3;21
82100280473;8;6;12;3;2;31
76505149113;8;8;4;3;1;24
79176696752;6;10;3;4;5;28
65353394077;5;2;12;4;2;25
77075884375;7;7;0;5;0;19
81226486449;4;2;4;3;5;18
58427716925;7;10;11;4;3;35
82852392557;5;4;1;4;1;15
78324728693;4;8;8;4;3;27
88082561631;2;4;12;3;4;25
82882234104;1;6;8;4;1;20
58806617325;6;3;5;4;4;22
78853954754;1;5;6;3;3;18
90612351728;7;2;1;3;4;17
61919608954;3;6;0;4;5;18
75846263960;0;2;12;4;1;19
73794741310;4;7;4;4;5;24
69608990923;4;6;8;3;0;21
77449838968;2;7;6;5;0;20
60372750744;6;2;4;3;1;16
99073972248;6;10;4;5;5;30
64281482473;6;8;9;5;5;33
72283032018;5;9;8;4;4;30
98610176591;7;2;7;5;2;23
82514349615;3;10;2;4;3;22
61001960241;3;6;10;5;4;28
58054694485;0;4;7;4;0;15
94936869901;7;7;7;5;4;30
72054138041;4;5;10;3;3;25
75310776795;3;8;8;4;3;26
97240471150;2;9;2;4;3;20
74294082143;4;9;12;3;5;33
68618995444;0;7;4;4;5;20
95468149924;7;7;10;4;4;32
67880375501;5;5;10;3;1;24
67771470327;3;6;12;5;0;26
59814649756;4;9;1;5;5;24
70143824644;3;6;6;3;1;19
96078264778;8;5;6;4;5;28
93436555629;8;7;12;4;5;36
80253593355;5;10;6;3;1;25
75646529999;2;10;7;5;2;26
85152587295;5;7;2;3;3;20
57719656378;4;2;4;3;1;14
58437716952;0;5;12;3;1;21
61835193405;8;4;4;4;5;25
64727719347;5;6;10;4;2;27
95730698265;1;9;11;5;0;26
74226841493;6;5;11;5;3;30
78891245316;2;5;0;5;0;12
86685864800;0;2;0;5;0;7
72184788680;6;9;12;3;3;33
62678402433;1;7;0;3;0;11
95028498771;6;7;9;4;4;30
77590052981;8;3;0;5;5;21
84097442344;4;4;5;3;3;19
87534302801;7;4;0;4;0;15
60915633675;5;9;4;3;1;22
77551235570;6;6;7;5;1;25
91291552109;1;5;9;4;4;23
91607324230;3;3;2;5;2;15
85579223715;8;2;9;5;1;25
89003896358;0;4;7;4;1;16
55896866724;6;10;7;3;2;28
87396313125;8;7;12;4;4;35
57585823373;3;8;6;3;1;21
66289571273;3;7;7;3;5;25
98990966649;1;7;8;3;3;22
65021803315;7;10;12;3;5;37
87802422775;7;9;2;5;3;26
81151693087;2;8;7;5;5;27
90937476478;7;5;4;3;5;24
92546748274;6;8;3;5;1;23
81850742708;6;10;1;5;5;27
95980765400;3;6;11;4;4;28
78549251895;4;10;10;3;5;32
77945547478;8;9;12;4;3;36
83011733706;0;10;5;3;5;23
83006306304;8;8;1;5;4;26
55680472790;3;9;0;5;4;21
75011208424;3;6;11;5;4;29
62953896046;7;9;1;5;3;25
80628296520;1;6;1;3;5;16
83926907902;8;8;0;4;0;20
76709212705;8;9;6;5;5;33
64092642989;3;6;5;4;5;23
56957808904;2;7;2;4;2;17
88649434046;4;8;10;5;5;32
79531250584;5;9;11;4;1;30
57525680626;3;8;6;4;1;22
91889704239;3;2;4;5;4;18
56935443946;4;4;3;3;1;15
66167313279;6;9;1;4;3;23
81361526204;1;7;12;3;2;25
87708947203;5;9;10;4;3;31
63907571633;2;4;10;5;5;26
81885346751;0;9;1;3;1;14
93306105792;0;2;7;4;5;18
97284346100;8;10;2;4;5;29
57249264851;3;4;6;5;3;21
79983949999;3;3;0;5;3;14
99277040765;1;2;9;3;5;20
94356056686;3;6;7;5;2;23
64497873431;0;6;4;4;5;19
78416394568;4;10;12;4;1;31
71966580485;6;6;9;5;4;30
92814941309;7;8;9;3;3;30
