idade;altura;tempo_chegar_faculdade;data_aniversario;numero_aleatorio
41;1.8;90;25/09/1982;17
41;1.81;40;22/10/1983;7
38;1.79;50;15/06/1986;40
36;1.62;60;29/05/1988;10
31;1.65;35;28/08/1993;444
31;1.84;30;04/02/1994;7
28;1.55;60;22/04/1996;7
27;1.9;10;22/10/1997;75
27;1.79;80;12/02/1998;10
26;1.75;80;06/02/1999;10
25;1.91;65;05/08/1999;10
25;1.75;60;31/08/1999;100
24;1.71;40;09/03/2000;11
24;1.8;70;22/04/2000;22
23;1.7;40;19/07/2001;7
23;1.72;50;09/08/2001;10
23;1.65;40;10/10/2001;8
23;1.71;60;10/11/2001;23
23;1.77;30;15/01/2002;30
22;1.85;60;16/05/2002;7
22;1.65;90;27/09/2002;8
22;1.68;60;01/11/2002;10
23;1.57;45;18/11/2002;21
22;1.74;75;22/11/2002;512
21;1.76;25;14/02/2003;10
21;1.75;40;21/05/2003;777
21;1.58;80;26/05/2003;3
21;1.75;60;31/05/2003;3
21;1.81;60;06/07/2003;3
21;1.63;60;19/07/2003;7
21;1.7;80;21/08/2003;6
21;1.72;40;09/10/2003;17
21;1.64;60;04/01/2004;7
21;1.73;60;10/01/2004;6
21;1.8;90;23/03/2004;2
20;1.7;80;20/05/2004;94
20;1.75;60;08/06/2004;42
20;1.7;45;13/11/2004;80
20;1.68;75;27/11/2004;7
20;1.59;90;04/12/2004;7
20;1.87;60;05/12/2004;10
20;1.76;15;28/01/2005;9
19;1.65;60;17/02/2005;7
19;1.76;47;28/02/2005;13
19;1.8;90;24/03/2005;7
20;1.7;45;28/03/2005;512
19;1.79;80;29/04/2005;7
19;1.86;80;12/05/2005;48
21;1.86;60;13/06/2005;66
19;1.75;50;02/09/2005;28
19;1.75;90;05/10/2005;9
19;1.64;40;09/11/2005;90
19;1.82;60;08/12/2005;7
19;1.67;30;21/12/2005;97
18;1.73;30;15/02/2006;9
18;1.7;60;03/04/2006;22
18;1.55;40;15/05/2006;556
18;1.65;50;27/07/2006;27
18;1.7;65;28/09/2006;7
18;1.66;100;26/10/2006;22
18;1.61;45;14/12/2006;16
18;1.76;40;28/12/2006;7
18;1.72;75;10/01/2007;89
18;1.62;60;17/01/2007;14
18;1.78;75;03/02/2007;8
17;1.76;60;29/05/2007;7
23;1.75;70;16/01/2025;8
19;1.73;40;22/02/2025;14
24;1.6;40;20/03/2025;12
28;1.75;60;07/05/2025;7
19;1.77;45;07/12/2025;23
